Project Name,Summary,Dependencies,Precision@5,Recall@5,Ground Truth
GoogleCloudPlatform/google-cloud-datastore,"This repository contains low-level Java and Python client libraries for Google Cloud Datastore. For more idiomatic and usable client libraries in these languages, please visit the [Google Cloud Dataastore Client for Java][java-datastore] and Google Cloud Database Client for Python","['com.google.http-client:com.google.http-client', 'com.google.truth:com.google.truth', 'com.google.cloud.datastore:datastore-v1-proto-client', 'com.google.guava:com.google.guava', 'com.google.api-client:com.google.api-client', 'com.google.oauth-client:google-oauth-client', 'com.google.truth:truth', 'com.google.oauth-client:com.google.oauth-client']",0.25,0.2,"['com.google.cloud.datastore:datastore-v1-protos', 'com.google.http-client:google-http-client-jackson', 'com.google.guava:guava', 'com.google.api-client:google-api-client', 'com.google.cloud.datastore:com.google.cloud.datastore', 'junit:junit', 'com.google.http-client:google-http-client', 'com.google.http-client:google-http-client-protobuf']"
eclipse/tycho,Eclipse Tycho is a manifest-first way to build and build Eclipse plug-ins/OSGi bundles/RCP applications\n，nwith Maven. This repository contains all the features and documentation that will help you migrate to the official Eclipse site.,"['org.apache.maven.plugin-tools:maven-plugin-annotations', 'org.codehaus.plexus:plexus-component-annotations', 'org.codehaus.plexus:plexus-container-default', 'org.eclipse.tycho:tycho-testing-harness', 'org.apache.maven:maven-core', 'org.eclipse.tycho:org.eclipse.jdt.compiler.apt', 'org.codehaus.plexus:plexus-utils', 'org.eclipse.tycho:org.eclipse.osgi', 'org.eclipse.tycho:tycho-core', 'org.apache.commons:commons-exec']",0.25,0.16666666666666666,"['org.eclipse.tycho:tycho-compiler-jdt', 'org.eclipse.tycho:org.eclipse.tycho.p2.resolver.shared', 'org.eclipse.tycho:org.eclipse.jdt.core', 'org.codehaus.plexus:plexus-compiler-api', 'org.eclipse.tycho:sisu-equinox-api', 'org.apache.maven:maven-plugin-api', 'org.mockito:mockito-core', 'org.apache.maven:maven-compat', 'org.codehaus.plexus:plexus-compiler-manager', 'junit:junit', 'bcel:bcel']"
alexholmes/hadoop-book,"This repo contains the code, scripts and data files that are referenced in Hadoop in Practice (published by Manning Publishing). It also contains some features in Pig 0.9.1 that won\'t work with CDH3u1\nwhich uses 0.8.1.","['cascading:cascading-core', 'commons-io:commons-io', 'com.google.code.findbugs:jsr305', 'org.apache.mrunit:mrunit', 'org.apache.hadoop:hadoop-test', 'com.google.protobuf:protobuf-java', 'org.apache.pig:pig', 'edu.uci.ics.crawler4j:crawler4j', 'com.twitter.elephantbird:elephant-bird', 'org.apache.hadoop.hive:hive-metastore', 'com.google.guava:guava', 'org.apache.avro:avro-mapred', 'org.apache.crunch:crunch-core']",0.5,0.16666666666666666,"['com.googlecode.json-simple:json-simple', 'com.hadoop.compression.lzo:hadoop-lzo', 'org.apache.hadoop:hadoop-core', 'org.apache.hadoop.hive:hive-serde', 'org.apache.mahout:mahout-core', 'com.maxmind.geoip:maxmind-geoip', 'org.codehaus.jackson:jackson-mapper-asl', 'org.apache.hbase:hbase', 'org.apache.hadoop.hive:hive-exec', 'org.apache.thrift:hadoopbook-libthrift', 'org.apache.avro:avro', 'junit:junit', 'org.apache.hadoop.contrib.utils:join']"
cstamas/plexus-containers,Plexus IoC Container - A container for the IoC container to display the contents of your Plexus container in your container.   一个万用的管理理。,"['org.codehaus.plexus:plexus-classworlds', 'org.codehaus.plexus:plexus-component-annotations', 'org.apache.maven:maven-project', 'org.codehaus.plexus:plexus-container-default', 'org.apache.maven:maven-model', 'org.codehaus.plexus:plexus-archiver', 'org.codehaus.plexus:plexus-utils', 'com.google.code.google-collections:google-collect', 'plexus:plexus-container-default', 'com.thoughtworks.qdox:qdox', 'commons-cli:commons-cli']",0.3333333333333333,0.1111111111111111,"['asm:asm', 'org.codehaus.plexus.components:component-c', 'org.apache.maven:maven-plugin-api', 'org.codehaus.plexus:plexus-cli', 'plexus:plexus-testFodder-componentWithPlexusXml', 'org.codehaus.plexus.components:component-b', 'org.codehaus.plexus:plexus-component-metadata', 'org.codehaus.plexus.components:component-a', 'jdom:jdom', 'xerces:xercesImpl', 'junit:junit', 'org.apache.xbean:xbean-reflect']"
mifos/head,"Mifos is a primarily Web-focused application for microfinance portfolio\nmanagement. Mifos tracks offices, customers, and associated savings, loan, and\nother accounts.","['org.apache.axis:axis-ant', 'commons-configuration:commons-configuration', 'pentaho-library:librepository', 'org.springframework:spring-test', 'org.quartz-scheduler:quartz', 'org.powermock:powermock-api-mockito', 'commons-cli:commons-cli', 'org.beanshell:bsh', 'struts:struts-legacy', 'org.mifos:mifos-server-jetty', 'pentaho-library:libloader', 'commons-lang:commons-lang', 'org.mifos:mifos-rest', 'org.hibernate:hibernate-ehcache', 'org.mifos:mifos-testFramework', 'org.mifos:mifos-server-workspace', 'org.apache.axis:axis', 'pentaho-library:libformula', 'log4j:log4j', '${birt.libs.groupId}:dataaggregationapi', '${birt.libs.groupId}:engineapi', 'org.hsqldb:hsqldb', 'com.thoughtworks.xstream:xstream', 'org.freemarker:freemarker', 'org.hibernate:hibernate-envers', 'commons-codec:commons-codec', 'org.mifos:mifos-abstract-domain', 'pentaho-library:libdocbundle', 'commons-logging:commons-logging', 'org.codehaus.jackson:jackson-mapper-asl', 'org.easymock:easymockclassextension', 'org.mifos:mifos-organization', 'commons-io:commons-io', 'org.springframework.webflow:spring-webflow', 'org.springframework:spring-expression', 'joda-time:joda-time-hibernate', 'org.hibernate:hibernate-validator', 'dom4j:dom4j', 'com.google.android:android-test', '${birt.libs.groupId}:coreapi_MIFOS-5119_MIFOS-5118', 'org.springframework.batch:spring-batch-core', 'org.slf4j:slf4j-log4j12', 'org.springframework.security:spring-security-acl', 'org.eclipse.jetty:jetty-util', 'org.hibernate:hibernate-entitymanager', 'pentaho-library:libxml', 'org.eclipse.jetty:jetty-plus', 'net.sf.json-lib:json-lib', 'pentaho-library:libbase', 'pentaho-report-designer:pentaho-reporting-engine-wizard-xul', '${birt.libs.groupId}:dataadapterapi', 'pentaho-library:libfonts', 'org.hamcrest:hamcrest-all', 'junit:junit', '${birt.libs.groupId}:modelapi', 'org.aspectj:aspectjweaver', 'org.springframework:spring-webmvc', 'org.springframework.security:spring-security-taglibs', 'bsf:bsf', 'org.mifos:mifos-serviceInterfaces', 'org.dbunit:dbunit', 'xmlunit:xmlunit', 'org.slf4j:slf4j-api', 'org.mockito:mockito-all', '${birt.libs.groupId}:org.w3c.css.sac', 'org.apache.poi:poi-ooxml', 'wsdl4j:wsdl4j', 'org.mifos:mifos-reporting-libs', 'pentaho-library:libsparkline', 'joda-time:joda-time', 'strutstest:strutstest', 'rhino:js', 'org.seleniumhq.selenium.client-drivers:selenium-java-client-driver', 'mysql:mysql-connector-java', 'pentaho-reporting-engine:pentaho-reporting-engine-classic-core', 'org.hibernate:hibernate-core', 'org.codehaus.jackson:jackson-core-asl', 'javax.servlet:jstl', 'org.mifos:mifos-war']",0.6,0.06818181818181818,"['commons-discovery:commons-discovery', 'org.springframework:spring-aop', 'net.sf.dozer:dozer', 'org.mifos:mifos-domain-dto', 'asm:asm-all', 'org.markdownj:markdownj', 'commons-beanutils:commons-beanutils', '${birt.libs.groupId}:crosstabcoreapi', 'commons-collections:commons-collections', 'org.apache.axis:axis-jaxrpc', 'org.mifos:mifos-cashflow', 'pentaho-library:libserializer', 'org.easymock:easymock', 'com.lowagie:itext', '${birt.libs.groupId}:org.eclipse.emf.common', 'org.springframework:spring-context', '${birt.libs.groupId}:scriptapi', 'org.mortbay.jetty:jsp-2.1-glassfish', 'org.mifos:mifos-appdomain', '${birt.libs.groupId}:flute', 'org.apache.xmlbeans:xmlbeans', 'org.springframework.mobile:spring-mobile-device', '${birt.libs.groupId}:emitterconfig', 'org.springframework.security:spring-security-core', 'org.springframework:spring-aspects', 'org.mifos:mifos-questionnaire', 'commons-httpclient:commons-httpclient', 'com.ibm.icu:icu4j', 'pentaho-reporting-engine:pentaho-reporting-engine-classic-extensions', '${birt.libs.groupId}:org.eclipse.emf.ecore.xmi', 'org.mifos:mifos-reporting', 'junit-addons:junit-addons', 'org.apache.poi:poi', 'org.powermock:powermock-module-junit4', 'com.jayway.android.robotium:robotium-solo', '${birt.libs.groupId}:odadesignapi', 'org.liquibase:liquibase-core', 'org.seleniumhq.selenium:selenium-java', 'org.mifos:mifos-db', 'javax.servlet:jsp-api', 'org.mifos:mifos-userInterface', 'pentaho-library:libformat', 'org.springframework:spring-orm', 'org.mifos:mifos-common', 'javax.servlet:servlet-api', 'commons-digester:commons-digester', 'org.eclipse.jetty:jetty-webapp', '${birt.libs.groupId}:org.eclipse.emf.ecore', 'org.mifos:mifos-accounting', 'ognl:ognl', 'org.mifos:mifos-webapp', 'pentaho-reporting-engine:pentaho-reporting-engine-wizard-core', 'com.google.android:android', 'taglibs:standard', 'org.springframework:spring-core', '${birt.libs.groupId}:dataextraction', 'com.lowagie:itext-rtf', 'org.aspectj:aspectjrt', 'javax.validation:validation-api', 'org.springframework.webflow:spring-binding', 'org.springframework:spring-beans', 'c3p0:c3p0', 'org.springframework:spring-web', 'commons-validator:commons-validator', 'org.hibernate:hibernate-c3p0', 'org.springframework:spring-jdbc', 'org.springframework.security:spring-security-config', '${birt.libs.groupId}:modelodaapi', 'javassist:javassist', 'struts:struts', 'org.apache:jakarta-oro', 'org.springframework.webflow:spring-js', 'org.testng:testng', '${birt.libs.groupId}:chartengineapi', '${birt.libs.groupId}:viewservlets', '${birt.libs.groupId}:dteapi', 'findbugs:annotations', 'struts:struts-el', 'commons-fileupload:commons-fileupload', 'org.apache.axis:axis-saaj']"
lintool/bespin,"Bespin is a library that contains reference implementations of ""big data"" algorithms in MapReduce and Spark. Examples of big data algorithms include:Gnutella08, Gnutella09, GNC08, and GNC09.","['org.apache.spark:spark-sql_2.11', 'org.apache.hbase:hbase-server', 'org.apache.spark:spark-core_2.11', 'org.apache.hbase:hbase-client', 'tl.lin:lintools-datatypes', 'net.sf.jung:jung-algorithms', 'org.apache.hadoop:hadoop-client']",0.25,0.16666666666666666,"['args4j:args4j', 'org.scala-lang:scala-library', 'net.sf.jung:jung-graph-impl', 'com.google.guava:guava', 'junit:junit', 'net.sf.jung:jung-api', 'org.rogach:scallop_2.11']"
forge/core,"The fastest way to build applications, share your software, and enjoy doing it. JBoss Forge 3 is packaged inside your favorite IDE plugin and also as a standalone ZIP file. It is independent of each other.","['org.jboss.forge.addon:shell-spi', 'org.jboss.forge.addon:scaffold-spi', 'org.jboss.forge.addon:shrinkwrap', 'org.jboss.forge.furnace.container:simple', 'commons-configuration:commons-configuration', 'org.jboss.forge.addon:parser-java', 'org.jboss.forge.addon:ui-spi', 'org.jboss.forge.addon:templates-freemarker', 'org.jboss.forge.furnace:furnace-manager', 'org.jboss.forge.addon:javaee-api', 'commons-collections:commons-collections', 'org.jboss.forge.addon:templates', 'org.jboss.forge.addon:projects-api', 'org.jboss.forge.addon:scaffold', 'org.jboss.forge.furnace:furnace', 'org.jboss.forge.addon:javaee-spi', 'org.jboss.forge.addon:slf4j', 'org.jboss.forge.addon:environment-api', 'org.jboss.forge.addon:scaffold-faces', 'org.jboss.forge.addon:core', 'org.jboss.forge.addon:dependencies-api', 'org.jboss.forge.addon:facets', 'org.jboss.forge.addon:dependencies', 'org.jboss.forge.addon:parser-java-api', 'org.jboss.logmanager:jboss-logmanager', 'org.jboss.forge.furnace.container:cdi', 'org.jboss.forge.addon:convert', 'org.jboss.forge.addon:addons-impl', 'org.jboss.forge:forge-bom', 'org.jboss.forge.furnace:furnace-manager-api', 'org.jboss.forge.addon:parser-yaml', 'org.jboss.forge.addon:addons', 'org.jboss.forge.furnace.container:cdi-api', 'org.jboss.forge.addon:facets-api', 'org.hibernate:hibernate-validator-cdi', 'org.jboss.forge.addon:shell-api', 'org.jboss.forge.addon:convert-impl', 'org.jboss.forge.furnace:furnace-manager-resolver-maven', 'org.jboss.forge.addon:templates-spi', 'org.jboss.forge.addon:bean-validation-api', 'org.jboss.forge.addon:shell', 'org.jboss.forge.addon:projects', 'org.jboss.forge.addon:ui-example', 'org.jboss.forge.addon:projects-generic']",1.0,0.16666666666666666,"['org.jboss.forge.addon:resources', 'org.jboss.forge.furnace:furnace-manager-spi', 'org.hibernate:hibernate-validator', 'org.jboss.forge.addon:bean-validation', 'org.jboss.forge.addon:addon-manager', 'org.jboss.forge.addon:maven', 'org.jboss.forge.addon:resources-api', 'org.jboss.forge.addon:database-tools', 'org.jboss.forge.addon:git', 'net.lingala.zip4j:zip4j', 'org.jboss.forge.addon:testing-api', 'org.jboss.forge.addon:parser-xml-api', 'org.jboss.forge.addon:parser-json-api', 'org.jboss.forge.addon:addon-manager-spi', 'org.jboss.forge.addon:bean-validation-impl', 'org.jboss.forge.addon:dev-tools-java', 'org.jboss.forge.furnace:furnace-api', 'org.jboss.forge.addon:convert-api', 'org.jboss.forge.addon:addon-manager-impl', 'org.jboss.forge.addon:templates-api', 'javax.validation:validation-api', 'org.jboss.forge.furnace.test:arquillian-furnace-classpath', 'org.jboss.forge.addon:testing', 'org.jboss.forge.addon:parser-json', 'org.jboss.forge.addon:addons-api', 'org.jboss.forge.furnace:furnace-bom', 'org.jboss.forge.addon:scaffold-api', 'org.jboss.forge.addon:rest-client', 'org.jboss.forge.addon:assertj', 'org.jboss.forge.addon:addon-manager-api', 'org.jboss.forge.addon:parser-xml', 'org.jboss.forge.addon:maven-api', 'org.jboss.forge.addon:ui-api', 'org.jboss.forge.furnace.test:furnace-test-harness', 'org.jboss.forge.addon:script', 'org.jboss.forge.addon:javaee', 'org.jboss.forge.addon:ui-test-harness', 'org.jboss.forge.addon:text', 'org.jboss.forge.addon:git-api', 'org.jboss.forge.addon:configuration-impl', 'org.jboss.forge.addon:configuration', 'org.jboss.forge.addon:ui', 'org.jboss.forge.addon:shell-test-harness', 'org.jboss.forge.addon:environment', 'org.jboss.forge.addon:configuration-api']"
saintdan/spring-micro-services-boilerplate,🔥 Spring Microservices Boilerplate is a boilerplate which is very helpful for java programmer and friendly to front end. It is also helpful for spring bootstrapping and build with Spring Boot.,"['org.springframework.boot:spring-boot-starter-data-jpa', 'io.springfox:springfox-swagger-ui', 'org.postgresql:postgresql', 'com.jayway.jsonpath:json-path-assert', 'org.springframework.security.oauth:spring-security-oauth2', 'org.apache.commons:commons-lang3', 'io.springfox:springfox-swagger2', 'org.springframework.boot:spring-boot-starter-web', 'org.springframework.boot:spring-boot-starter-security', 'net.kaczmarzyk:specification-arg-resolver']",1.0,0.16666666666666666,"['de.codecentric:spring-boot-admin-starter-client', 'com.fasterxml.jackson.core:jackson-core', 'de.codecentric:spring-boot-admin-server', 'org.springframework.boot:spring-boot-starter-test', 'de.codecentric:spring-boot-admin-server-ui', 'com.jayway.jsonpath:json-path', 'com.google.guava:guava', 'org.springframework.boot:spring-boot-devtools', 'junit:junit', 'org.springframework.boot:spring-boot-starter-actuator']"
javanna/elasticshell,"A shell for elasticsearch written in Java. It allows to interact with a running elasticsearch cluster using the Java API. Furthermore, the addition of thecat api (http://www.elasticsearch.org) to connect to it.","['org.apache.httpcomponents:httpclient', 'org.mozilla:rhino', 'jline:jline', 'ch.qos.logback:logback-core']",0.3333333333333333,0.2,"['ch.qos.logback:logback-classic', 'org.testng:testng', 'com.spatial4j:spatial4j', 'org.fusesource.jansi:jansi', 'org.elasticsearch:elasticsearch']"
androidannotations/androidannotations,"AndroidAnnotations is deprecated. No more development will be taking place. It takes care of theplumbing, and lets you concentrate on what's really important. It facilitates itsmaintenance.","['org.hamcrest:hamcrest-core', 'org.robolectric:shadows-httpclient', 'com.google.android:android', 'org.androidannotations:rest-spring', 'com.squareup:fest-android', 'org.simpleframework:simple-xml', 'com.google.android:support-v4', 'org.androidannotations:ormlite-api', 'org.androidannotations:otto', 'junit:junit', 'org.androidannotations:androidannotations', 'org.robolectric:robolectric', 'org.parceler:parceler', 'org.robolectric:android-all', 'org.springframework.android:spring-android-rest-template']",0.2,0.09090909090909091,"['org.androidannotations:roboguice-api', 'org.roboguice:roboguice', 'org.robolectric:shadows-support-v4', 'org.androidannotations:roboguice', 'org.androidannotations:rest-spring-api', 'org.androidannotations:androidannotations-api', 'com.j256.ormlite:ormlite-android', 'org.codehaus.jackson:jackson-mapper-asl', 'org.androidannotations:ormlite', 'com.helger:jcodemodel', 'org.easytesting:fest-reflect', 'org.parceler:parceler-api', 'com.squareup:otto', 'org.androidannotations:androidannotations-testutils', 'org.mockito:mockito-core', 'bouncycastle:bcprov-jdk16']"
